first_name,second_name,assists,bonus,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,form,goals_conceded,goals_scored,ict_index,idx,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,red_cards,saves,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,points_per_game
Jaden,Philogene-Bidace,0,0,0,0,481624,0,0,0,0,0.0,0,3,0.0,0.0,0,0.0,0,0,0.0,55,False,0.0,0,Joined Cardiff City on loan - Expected back 01 Jul,2022-07-28T16:30:04.277181Z,45,0,0,0,481624.jpg,0,0,0.0,False,,u,2,7,0.0,0,0,0,278,7,0.0,0.0,Philogene-Bidace,0,0.0
Frédéric,Guilbert,0,0,,,203368,0,0,0,0,0.0,0,2,-1.0,-0.5,0,0.0,0,0,0.0,56,False,0.0,0,,,40,0,0,0,203368.jpg,0,0,0.9,False,,a,2,7,0.0,0,29123,1294,37445,2486,0.0,0.0,Guilbert,0,0.0
Ludwig,Augustinsson,0,0,100,100,155561,0,0,-1,1,0.0,0,2,-1.0,-0.5,0,0.0,0,0,0.0,525,False,0.0,0,,2022-08-24T16:30:06.327738Z,44,0,0,0,155561.jpg,0,0,0.1,False,,a,2,7,0.0,0,900,48,3753,177,0.0,0.0,Augustinsson,0,0.0
Kaine,Kesler Hayden,0,0,0,0,537043,0,0,0,0,0.0,0,2,0.0,0.0,0,0.0,0,0,0.0,537,False,0.0,0,Season-long loan to Huddersfield Town,2022-08-12T14:24:07.750145Z,40,0,0,0,537043.jpg,0,0,0.1,False,,u,2,7,0.0,0,1637,0,7906,248,0.0,0.0,Kesler Hayden,0,0.0
Ashley,Young,0,0,,,18892,-1,1,-1,1,0.0,0,2,-1.0,-0.5,0,0.0,0,0,0.0,538,False,0.0,1,,,44,0,0,0,18892.jpg,0,0,0.1,False,,a,2,7,0.0,0,3516,256,7949,448,0.0,0.0,Young,1,0.0
Adam,Smith,0,0,,,54469,0,0,-1,1,37.6,0,2,1.6,1.1,6,1.6,12,0,12.4,57,False,59.4,405,,,44,0,0,0,54469.jpg,0,0,0.1,False,,a,3,91,26.0,8,3261,297,8603,310,0.4,1.8,Smith,4,1.6
Junior,Stanislas,0,0,0,0,56872,0,0,-2,2,0.3,0,3,0.0,0.0,0,0.4,1,0,0.0,58,False,0.0,28,Groin Injury - Unknown return date,2022-08-23T09:00:05.626290Z,48,0,0,0,56872.jpg,0,0,0.0,False,,i,3,91,1.0,2,1080,10,7971,281,0.1,0.4,Stanislas,0,1.0
Ryan,Fredericks,0,0,100,25,81012,0,0,-1,1,0.3,0,2,0.2,-0.1,1,0.2,0,0,0.5,59,False,4.2,21,,2022-07-31T23:30:04.244175Z,44,0,0,0,81012.jpg,0,0,0.0,False,,a,3,91,0.0,1,235,18,2381,61,0.0,0.2,Fredericks,0,1.0
David,Brooks,0,0,0,0,111317,0,0,-1,1,0.0,0,3,0.0,0.0,0,0.0,0,0,0.0,60,False,0.0,0,Lack of match fitness - Expected back 01 Oct,2022-08-01T17:30:04.697617Z,54,0,0,0,111317.jpg,0,0,0.0,False,,i,3,91,0.0,0,269,18,2995,72,0.0,0.0,Brooks,0,0.0
Jamal,Lowe,0,0,100,75,128309,0,0,-2,2,0.0,0,3,0.2,-0.2,0,0.2,0,0,0.0,61,False,0.0,1,,2022-08-25T11:30:05.802904Z,53,0,0,0,128309.jpg,0,0,0.0,False,,a,3,91,0.0,1,390,6,3411,124,0.0,0.2,Lowe,0,1.0
Kieffer,Moore,0,0,,,128340,0,0,0,0,31.4,0,4,2.6,2.1,1,2.6,16,1,14.5,62,False,52.6,372,,,55,0,0,0,128340.jpg,0,0,1.2,False,,a,3,91,62.0,13,149208,1874,95629,11742,0.5,2.4,Moore,0,2.6
Emiliano,Marcondes,0,0,,,133845,0,0,-1,1,0.0,0,3,0.2,-0.3,0,0.2,1,0,0.1,63,False,1.2,8,,,49,0,0,0,133845.jpg,0,0,0.0,False,,a,3,91,0.0,1,315,28,1242,67,0.0,0.2,Marcondes,0,1.0
Jefferson,Lerma Solís,0,2,,,152551,0,0,0,0,7.6,1,3,3.4,2.9,3,3.4,16,1,11.0,64,False,72.0,450,,,50,1,0,0,152551.jpg,0,0,0.8,False,,a,3,91,31.0,17,98200,1232,87611,3498,0.7,3.4,Lerma,0,3.4
Jack,Stacey,0,0,,,154131,0,0,-1,1,4.6,0,2,-0.2,-0.7,0,-0.2,4,0,1.1,65,False,6.6,90,,,44,0,0,0,154131.jpg,0,0,0.0,False,,a,3,91,0.0,-1,427,37,2567,110,0.0,-0.2,Stacey,1,-1.0
Dominic,Solanke,0,0,100,100,154566,0,0,-2,2,3.9,0,4,1.0,0.5,2,1.0,4,0,11.3,66,False,22.6,225,,2022-08-14T00:00:05.733898Z,58,0,0,0,154566.jpg,0,0,0.4,False,,a,3,91,87.0,5,10448,503,83251,2503,0.2,0.9,Solanke,0,1.7
